代號,名稱,年月日,開盤價元,最高價元,最低價元,收盤價元,成交量千股,成交值千元,報酬率,週轉率,天數,obs_count
2314,台揚,2021-07-01 00:00:00,49.546001,53.7481,49.2528,53.7481,"57,195","3,098,879",10,25.082399,-160,203
2314,台揚,2021-07-02 00:00:00,54.627602,55.409401,50.7187,51.793598,"44,768","2,431,239",-3.6364,19.6327,-159,203
2314,台揚,2021-07-05 00:00:00,51.793598,54.5299,50.425499,52.380001,"23,343","1,257,927",1.1321,10.2369,-158,203
2314,台揚,2021-07-06 00:00:00,52.380001,53.5527,49.546001,50.816399,"16,169","852,107",-2.9851,7.0907998,-157,203
2314,台揚,2021-07-07 00:00:00,50.425499,51.305,47.738098,47.933498,"14,087","708,282",-5.6731,6.1778002,-156,203
2314,台揚,2021-07-08 00:00:00,48.373299,49.350498,47.738098,47.738098,"7,067","350,111",-.4077,3.0992,-155,203
2314,台揚,2021-07-09 00:00:00,47.298302,51.6959,46.907398,49.350498,"25,488","1,299,444",3.3777001,11.1776,-154,203
2314,台揚,2021-07-12 00:00:00,51.6959,52.0868,49.839199,51.305,"17,451","908,294",3.9604001,7.6529999,-153,203
2314,台揚,2021-07-13 00:00:00,51.402699,56.3867,50.816399,55.702599,"63,671","3,581,093",8.5713997,27.9224,-152,203
2314,台揚,2021-07-14 00:00:00,56.1912,61.175098,52.0868,58.145699,"63,724","3,677,977",4.3860002,27.9457,-151,203
2314,台揚,2021-07-15 00:00:00,58.4389,62.738701,57.754799,60.588799,"64,645","4,009,129",4.2017002,28.3496,-150,203
2314,台揚,2021-07-16 00:00:00,59.6115,63.5205,59.318401,60.4911,"39,129","2,466,392",-.1613,17.1597,-149,203
2314,台揚,2021-07-19 00:00:00,60.588799,62.543301,59.709301,60.979698,"23,966","1,502,613",.80779999,10.5101,-148,203
2314,台揚,2021-07-20 00:00:00,60.393299,61.761501,56.093498,57.266201,"27,719","1,669,182",-6.0897002,12.156,-147,203
2314,台揚,2021-07-21 00:00:00,59.6115,60.393299,56.1912,56.3867,"24,761","1,466,899",-1.5358,10.8588,-146,203
2314,台揚,2021-07-22 00:00:00,57.657101,59.122898,56.093498,56.5821,"14,749","868,854",.3466,6.4681001,-145,203
2314,台揚,2021-07-23 00:00:00,57.559299,62.0546,56.973,62.0546,"33,125","2,022,502",9.6717997,14.5267,-144,203
2314,台揚,2021-07-26 00:00:00,61.566002,66.3545,61.0774,62.347801,"50,062","3,261,922",.47240001,21.9543,-143,203
2314,台揚,2021-07-27 00:00:00,62.543301,63.7159,57.950199,59.904701,"24,968","1,559,705",-3.9184999,10.9495,-142,203
2314,台揚,2021-07-28 00:00:00,59.6115,60.588799,54.236698,57.070702,"19,223","1,127,881",-4.7308002,8.4301004,-141,203
2314,台揚,2021-07-29 00:00:00,57.950199,58.731998,56.679798,57.1684,"10,677","629,165",.17120001,4.6823001,-140,203
2314,台揚,2021-07-30 00:00:00,57.1684,57.852501,54.236698,56.875301,"13,167","755,939",-.51279998,5.7743001,-139,203
2314,台揚,2021-08-02 00:00:00,55.018501,56.3867,52.770901,54.7253,"17,208","960,350",-3.7801001,7.5464001,-138,203
2314,台揚,2021-08-03 00:00:00,54.7253,56.1912,54.041302,54.334499,"6,909","388,685",-.71429998,3.0299001,-137,203
2314,台揚,2021-08-04 00:00:00,54.823101,55.409401,53.5527,55.214001,"6,493","363,230",1.6187,2.8475001,-136,203
2314,台揚,2021-08-05 00:00:00,55.409401,58.048,54.7253,55.9958,"21,246","1,231,083",1.4159,9.3172998,-135,203
2314,台揚,2021-08-06 00:00:00,55.214001,56.093498,53.7481,53.9436,"10,689","597,561",-3.6649001,4.6876001,-134,203
2314,台揚,2021-08-09 00:00:00,53.259499,54.041302,50.816399,51.011799,"11,243","597,956",-5.4348001,4.9305,-133,203
2314,台揚,2021-08-10 00:00:00,50.523201,52.0868,49.448299,50.327801,"8,071","419,588",-1.341,3.5395,-132,203
